# File Name: genetic_markers_2017.04.10(edited).tsv
#
# File Type: tab-separated values
# 
# Source File URL: 
# - https://zfin.org/downloads/archive/2017.04.10/genetic_markers.txt
# 
# Edited: 
# - extension changed from .txt to .tsv
# - date line commented out with "#" (pound sign)
# - removed extra columns (original 4: marker type, and original 5: SO ID)
# - added a column between original 2: Marker Symbol, and original 3: Marker Name; called it (new column 3) Synonyms.
# - added a column after all existing columns; called it (new column 5) Curator Comments
# - added these notes, with each line preceded by "#", at the top of this file.
# 
# Source file retrieval date: 2017.04.11
# 
# Source-file Header:
# Date: 2017.04.10				
# 
# Source-file Column Headers:
# Marker ID	Marker Symbol	- (N/A)	Marker Name	- (N/A)
# 
# Column Headers:
# MOD ID	Symbol	Synonyms	Name	Notes
ZDB-ATB-081008-10	ab1-lrrc6		Ab1-lrrc6	
ZDB-ATB-081008-2	ab1-actn		Ab1-actn	
ZDB-ATB-081008-3	ab-3h1		Ab-3H1	
ZDB-ATB-081008-4	ab-f310		Ab-F310	
ZDB-ATB-081008-5	ab-s58		Ab-S58	
ZDB-ATB-081008-6	ab1-col2a		Ab1-col2a	
ZDB-ATB-081008-7	ab1-ctnnb		Ab1-ctnnb	
ZDB-ATB-081008-8	ab7-brdu		Ab7-brdu	
ZDB-ATB-081008-9	ab3-gfp		Ab3-GFP	
ZDB-ATB-081009-1	ab1-aldoc		Ab1-aldoc	
ZDB-ATB-081009-2	ab4-gfp		Ab4-GFP	
ZDB-ATB-081009-3	ab2-prox1		Ab2-Prox1	
ZDB-ATB-081009-5	ab1-glul		Ab1-glul	
ZDB-ATB-081010-1	ab1-mapk		Ab1-mapk	
ZDB-ATB-081013-1	ab-10e4		Ab-10E4	
ZDB-ATB-081013-2	ab-cs-56		Ab-CS-56	
ZDB-ATB-081014-1	ab1-pdgfra		ab1-PDGFRA	
ZDB-ATB-081015-1	ab1-smad		Ab1-smad	
ZDB-ATB-081015-2	ab-a4.1025		Ab-A4.1025	
ZDB-ATB-081016-1	ab1-tubb		Ab1-tubb	
ZDB-ATB-081017-1	ab1-eng		Ab1-eng	
ZDB-ATB-081017-2	ab1-prkcb1		Ab1-prkcb1	
ZDB-ATB-081017-3	ab1-chat		Ab1-chat	
ZDB-ATB-081017-4	ab1-nka		Ab1-nka	
ZDB-ATB-081017-5	ab1-nos		Ab1-nos	
ZDB-ATB-081017-6	ab1-pacap		Ab1-pacap	
ZDB-ATB-081017-7	ab1-serotonin		Ab1-serotonin	
ZDB-ATB-081017-8	ab1-th		Ab1-th	
ZDB-ATB-081017-9	ab1-vip		Ab1-vip	
ZDB-ATB-081019-1	ab1-appl1		Ab1-appl1	
ZDB-ATB-081019-2	ab1-appl2		Ab1-appl2	
ZDB-ATB-081021-1	ab2-mapk		Ab2-mapk	
ZDB-ATB-081021-2	fret 3		FRet 3	
ZDB-ATB-081021-3	fret 6		FRet 6	
ZDB-ATB-081021-4	fret 8		FRet 8	
ZDB-ATB-081021-5	fret 19		FRet 19	
ZDB-ATB-081021-6	fret 22		FRet 22	
ZDB-ATB-081021-7	fret 23		FRet 23	
ZDB-ATB-081021-8	fret 34		FRet 34	
ZDB-ATB-081022-1	ab3-mapk		Ab3-mapk	
ZDB-ATB-081024-1	ab1-olfm1		Ab1-olfm1	
ZDB-ATB-081028-1	ab1-brd4		Ab1-brd4	
ZDB-ATB-081028-2	ab5-gfp		Ab5-GFP	
ZDB-ATB-081028-3	ab1-h4		Ab1-h4	
ZDB-ATB-081028-4	ab2-h3		Ab2-h3	
ZDB-ATB-081028-5	ab1-polr2a		Ab1-polr2a	
ZDB-ATB-081028-6	ab1-atp6v0a1		Ab1-atp6v0a1	
ZDB-ATB-081029-1	ab1-ddx4		Ab1-ddx4	
ZDB-ATB-081029-2	ab3-tuba		Ab3-tuba	
ZDB-ATB-081029-3	ab1-nucleoporin		Ab1-nucleoporin	
ZDB-ATB-081029-4	ab1-vangl2		Ab1-vangl2	
ZDB-ATB-081029-6	ab1-mmp14		AB1-mmp14	
ZDB-ATB-081030-1	ab1-golga2		Ab1-golga2	
ZDB-ATB-081105-1	ab1-krt18		Ab1-krt18	
ZDB-ATB-081105-2	ab6-gfp		Ab6-GFP	
ZDB-ATB-081105-3	ab1-cdh5		Ab1-cdh5	
ZDB-ATB-081105-4	ab1-akt		Ab1-akt	
ZDB-ATB-081105-5	ab1-tjp1		Ab1-tjp1	
ZDB-ATB-081106-1	ab4-mapk		Ab4-mapk	
ZDB-ATB-081106-2	ab1-gaba		Ab1-GABA	
ZDB-ATB-081106-3	ab1-pvalb		Ab1-pvalb	
ZDB-ATB-081107-1	ab1-casp3		Ab1-casp3	
ZDB-ATB-081107-2	ab3-h3		Ab3-h3	
ZDB-ATB-081112-1	ab1-s100		Ab1-s100	
ZDB-ATB-081113-1	ab1-prkcz		Ab1-prkcz	
ZDB-ATB-081113-2	ab7-gfp		Ab7-GFP	
ZDB-ATB-081113-3	ab1-sox3		Ab1-Sox3	
ZDB-ATB-081118-1	ab2-dag1		Ab2-dag1	
ZDB-ATB-081118-2	ab3-dag1		Ab3-dag1	
ZDB-ATB-081119-1	ab1-c1ql4l		ab1-c1ql4l	
ZDB-ATB-081120-1	ab1-acac		Ab1-acac	
ZDB-ATB-081120-2	ab2-acac		Ab2-acac	
ZDB-ATB-081120-3	ab1-ampka		Ab1-ampka	
ZDB-ATB-081120-5	ab2-ampka		Ab2-ampka	
ZDB-ATB-081120-7	ab8-rps6k		Ab8-rps6k	
ZDB-ATB-081121-1	ab1-hspg2		Ab1-hspg2	
ZDB-ATB-081121-2	ab1-isl		Ab1-isl	
ZDB-ATB-081121-3	ab1-mnx1		Ab1-mnx1	
ZDB-ATB-081121-4	ab2-pcna		Ab2-pcna	
ZDB-ATB-081124-1	ab1-brdu		Ab1-BrdU	
ZDB-ATB-081124-2	ab3-prox1		Ab3-prox1	
ZDB-ATB-081124-3	ab2-isl		Ab2-isl	
ZDB-ATB-081124-4	ab1-gcg		Ab1-gcg	
ZDB-ATB-081125-1	ab1-xirp		Ab1-xirp	
ZDB-ATB-081125-2	ab1-ctnnb1		Ab1-ctnnb1	
ZDB-ATB-081125-3	ab1-jup		Ab1-jup	
ZDB-ATB-081125-4	ab1-tnnt2		Ab1-tnnt2	
ZDB-ATB-081125-5	ab1-pcdh1a		Ab1-pcdh1a	
ZDB-ATB-081201-1	ab-sv2		Ab-SV2	
ZDB-ATB-081202-1	ab2-serotonin		Ab2-serotonin	
ZDB-ATB-081202-2	ab1-pink1		Ab1-pink1	
ZDB-ATB-081205-1	ab1-fn		Ab1-fn	
ZDB-ATB-081208-1	ab2-akt		Ab2-akt	
ZDB-ATB-081208-2	ab3-akt		Ab3-akt	
ZDB-ATB-081208-3	ab1-tsc2		Ab1-tsc2	
ZDB-ATB-081209-1	ab1-cpa		Ab1-CPA	
ZDB-ATB-081209-2	ab1-amy		Ab1-amy	
ZDB-ATB-081209-3	ab5-mapk		Ab5-mapk	
ZDB-ATB-081209-4	ab1-mpp5a		Ab1-mpp5a	
ZDB-ATB-081209-5	ab2-tsc2		Ab2-tsc2	
ZDB-ATB-081209-6	ab1-gsk3b		Ab1-gsk3b	
ZDB-ATB-081209-7	ab2-gsk3b		Ab2-gsk3b	
ZDB-ATB-081210-1	ab4-h3		Ab4-h3	
ZDB-ATB-081210-2	ab2-casp3		Ab2-casp3	
ZDB-ATB-081211-1	ab1-atr		Ab1-atr	
ZDB-ATB-081211-2	ab1-h2afx		Ab1-h2afx	
ZDB-ATB-081211-3	ab1-chek1		Ab1-chek1	
ZDB-ATB-081211-4	ab1-chek2		Ab1-chek2	
ZDB-ATB-081211-5	ab1-cdc2		Ab1-cdc2	
ZDB-ATB-081211-6	ab1-acta2		Ab1-acta2	
ZDB-ATB-081212-1	ab1-lpp		Ab1-lpp	
ZDB-ATB-081216-1	ab1-anos1a		Ab1-anos1a	
ZDB-ATB-081216-2	ab2-anos1a		Ab2-anos1a	
ZDB-ATB-081216-3	ab1-kal1b		Ab1-kal1b	
ZDB-ATB-081216-4	ab2-kal1b		Ab2-kal1b	
ZDB-ATB-081217-1	ab2-th		Ab2-th	
ZDB-ATB-081224-1	ab-2f11		Ab-2F11	
ZDB-ATB-081224-2	ab-4e8		Ab-4E8	
ZDB-ATB-081226-1	ab1-fabp7		Ab1-fabp7	
ZDB-ATB-081226-2	ab1-sox10		Ab1-sox10	
ZDB-ATB-081229-1	ab1-mcm4		Ab1-mcm4	
ZDB-ATB-081229-10	ab-2h9		Ab-2H9	
ZDB-ATB-081229-11	ab-5f11		Ab-5F11	
ZDB-ATB-081229-12	ab2-h2afx		Ab2-h2afx	
ZDB-ATB-081229-13	ab1-rho		Ab1-rho	
ZDB-ATB-081229-14	ab-5e11		Ab-5E11	
ZDB-ATB-081229-15	ab1-asz1		Ab1-asz1	
ZDB-ATB-081229-16	ab1-mcm2		Ab1-mcm2	
ZDB-ATB-081229-17	ab1-mcm3		Ab1-mcm3	
ZDB-ATB-081229-3	ab1-mcm5		Ab1-mcm5	
ZDB-ATB-081229-4	ab2-chek1		Ab2-chek1	
ZDB-ATB-081229-5	ab2-chek2		Ab2-chek2	
ZDB-ATB-081229-6	ab3-chek2		Ab3-chek2	
ZDB-ATB-081229-7	ab-4b7/1		Ab-4B7/1	
ZDB-ATB-081229-8	ab-4b7/2		Ab-4B7/2	
ZDB-ATB-081229-9	ab-3g12		Ab-3G12	
ZDB-ATB-081230-2	ab2-brdu		Ab2-BrdU	
ZDB-ATB-090106-1	ab1-mapk14		Ab1-mapk14	
ZDB-ATB-090106-2	ab1-tubg1		Ab1-tubg1	
ZDB-ATB-090108-1	ab1-gap43		Ab1-gap43	
ZDB-ATB-090108-2	ab1-cgmp		Ab1-cGMP	
ZDB-ATB-090108-3	ab1-cdh7		Ab1-cdh7	
ZDB-ATB-090108-4	ab-3a10		Ab-3A10	
ZDB-ATB-090108-5	ab2-cx43		Ab2-cx43	
ZDB-ATB-090112-1	ab1-dock4		Ab1-DOCK4	
ZDB-ATB-090115-1	ab1-sag		Ab1-sag	
ZDB-ATB-090115-2	ab1-gja5		AB1-GJA5	
ZDB-ATB-090120-1	ab1-pkd2		Ab1-pkd2	
ZDB-ATB-090120-2	ab5-h3		Ab5-h3	
ZDB-ATB-090121-1	ab8-gfp		Ab8-GFP	
ZDB-ATB-090121-2	ab1-atp1a1		Ab1-atp1a1	
ZDB-ATB-090121-3	ab1-ftcd		Ab1-ftcd	
ZDB-ATB-090122-1	ab2-ins		Ab2-ins	
ZDB-ATB-090122-2	ab1-pdx1		Ab1-pdx1	
ZDB-ATB-090122-3	ab1-col4a3bp		AB1-col4a3bp	
ZDB-ATB-090126-1	ab2-nos		Ab2-nos	
ZDB-ATB-090127-1	ab2-prkcz		Ab2-prkcz	
ZDB-ATB-090128-1	ab1-hnf4a		ab1-hnf4a	
ZDB-ATB-090128-2	ab1-sst		ab1-sst	
ZDB-ATB-090128-3	ab1-gnrhr		Ab1-gnrhr	
ZDB-ATB-090129-1	ab1-homer1		Ab1-homer1	
ZDB-ATB-090130-1	ab1-ptk2.1		Ab1-ptk2.1	
ZDB-ATB-090130-2	ab2-ctnnb		Ab2-ctnnb	
ZDB-ATB-090130-3	ab3-brdu		Ab3-BrdU	
ZDB-ATB-090203-1	ab1-dmd		Ab1-dmd	
ZDB-ATB-090203-2	ab1-sgcb		Ab1-sgcb	
ZDB-ATB-090204-1	ab1-crb		Ab1-crb	
ZDB-ATB-090204-2	ab1-epb41l5		Ab1-epb41l5	
ZDB-ATB-090205-1	ab2-epb41l5		Ab2-epb41l5	
ZDB-ATB-090205-2	ab1-prkca		Ab1-prkca	
ZDB-ATB-090205-3	ab2-prkcb1		Ab2-prkcb1	
ZDB-ATB-090205-4	ab1-prkcq		Ab1-prkcq	
ZDB-ATB-090205-5	ab1-prkce		Ab1-prkce	
ZDB-ATB-090206-1	ab1-clock		Ab1-clock	
ZDB-ATB-090206-2	ab1-prkcg		Ab1-prkcg	
ZDB-ATB-090209-1	ab3-th		Ab3-th	
ZDB-ATB-090212-1	ab1-lam		Ab1-lam	
ZDB-ATB-090212-2	ab1-ptk2		Ab1-ptk2	
ZDB-ATB-090212-3	ab1-atp6v0d1		Ab1-atp6v0d1	
ZDB-ATB-090212-4	ab1-rlbp		Ab1-rlbp	
ZDB-ATB-090213-1	ab1-atp7a		Ab1-atp7a	
ZDB-ATB-090213-2	ab1-cav1		Ab1-cav1	
ZDB-ATB-090216-1	ab1-slc31a1		Ab1-slc31a1	
ZDB-ATB-090216-2	ab1-elp3		Ab1-elp3	
ZDB-ATB-090218-1	ab4-brdu		Ab4-BrdU	
ZDB-ATB-090218-2	ab1-glra		Ab1-glra	
ZDB-ATB-090219-1	ab9-gfp		AB9-GFP	
ZDB-ATB-090219-2	ab2-gaba		Ab2-GABA	
ZDB-ATB-090219-3	ab1-gad2		Ab1-gad2	
ZDB-ATB-090219-4	ab1-gabbr1		Ab1-gabbr1	
ZDB-ATB-090219-5	ab1-gabra1		Ab1-gabra1	
ZDB-ATB-090219-6	ab1-desm		Ab1-desm	
ZDB-ATB-090220-1	ab2-polr2a		Ab2-polr2a	
ZDB-ATB-090220-2	ab1-myh11		Ab1-myh11	
ZDB-ATB-090223-1	ab-mpm-2		Ab-MPM-2	
ZDB-ATB-090223-2	ab1-crx		Ab1-crx	
ZDB-ATB-090223-3	ab1-prkc		Ab1-prkc	
ZDB-ATB-090303-1	ab1-mpx		Ab1-mpx	
ZDB-ATB-090303-2	ab1-lcp1		Ab1-lcp1	
ZDB-ATB-090303-3	ab-eb165		Ab-EB165	
ZDB-ATB-090304-1	ab1-act		Ab1-act	
ZDB-ATB-090304-2	ab5-brdu		Ab5-BrdU	
ZDB-ATB-090304-3	ab1-lama1		Ab1-lama1	
ZDB-ATB-090304-4	ab2-fn		Ab2-fn	
ZDB-ATB-090304-5	ab2-dmd		Ab2-dmd	
ZDB-ATB-090304-6	ab1-tln		Ab1-tln	
ZDB-ATB-090304-7	ab1-vcl		Ab1-vcl	
ZDB-ATB-090304-8	ab1-mb		Ab1-mb	
ZDB-ATB-090306-1	ab1-tp63		Ab1-tp63	
ZDB-ATB-090309-1	ab-3g8		Ab-3G8	
ZDB-ATB-090316-1	ab1-brdu/idu		Ab1-BrdU/IdU	
ZDB-ATB-090320-1	ab6-brdu		Ab6-BrdU	
ZDB-ATB-090320-2	ab1-arl6ip1		Ab1-arl6ip1	
ZDB-ATB-090320-3	ab1-park7		Ab1-park7	
ZDB-ATB-090324-1	ab1-pax2		Ab1-pax2	
ZDB-ATB-090327-1	ab1-ghsr		Ab1-ghsr	
ZDB-ATB-090327-2	ab1-ghrl		Ab1-Ghrl	
ZDB-ATB-090327-3	ab1-mln		Ab1-MLN	
ZDB-ATB-090331-1	ab1-rnasel3		Ab1-rnasel3	
ZDB-ATB-090331-2	ab10-gfp		Ab10-GFP	
ZDB-ATB-090401-1	ab11-gfp		AB11-GFP	
ZDB-ATB-090407-1	ab1-neurog1		Ab1-neurog1	
ZDB-ATB-090408-1	ab1-scn1bb		Ab1-scn1bb	
ZDB-ATB-090408-2	ab1-scn		Ab1-scn	
ZDB-ATB-090408-3	ab1-cldnb		Ab1-cldnb	
ZDB-ATB-090409-1	ab1-sparc		Ab1-sparc	
ZDB-ATB-090410-1	ab4-th		Ab4-th	
ZDB-ATB-090410-2	ab1-tph2		Ab1-tph2	
ZDB-ATB-090413-1	ab1-tpm		Ab1-tpm	
ZDB-ATB-090415-1	ab3-nos		Ab3-nos	
ZDB-ATB-090415-2	ab1-flt1		Ab1-flt1	
ZDB-ATB-090415-3	ab1-slc2a1		Ab1-slc2a1	
ZDB-ATB-090416-1	ab1-ndufs3		AB1-ndufs3	
ZDB-ATB-090416-2	ab1-sdhb		AB1-sdhb	
ZDB-ATB-090416-3	ab1-cox4		AB1-cox4	
ZDB-ATB-090417-1	ab1-atp5a1		Ab1-atp5a1	
ZDB-ATB-090417-2	ab1-porin		AB1-porin	
ZDB-ATB-090422-1	ab1-abcb11		Ab1-abcb11	
ZDB-ATB-090422-2	ab1-col4		AB1-col4	
ZDB-ATB-090422-3	ab1-ntcp		AB1-Ntcp	
ZDB-ATB-090504-1	ab1-ras		AB1-ras	
ZDB-ATB-090504-2	ab6-mapk		Ab6-mapk	
ZDB-ATB-090505-1	ab12-gfp		Ab12-GFP	
ZDB-ATB-090505-2	ab1-atm		AB1-atm	
ZDB-ATB-090505-3	ab2-atm		AB2-atm	
ZDB-ATB-090506-1	ab1-nr2e3		Ab1-nr2e3	
ZDB-ATB-090506-2	ab-4c12		Ab-4C12	
ZDB-ATB-090508-1	ab1-opn1lw1		Ab1-opn1lw1	
ZDB-ATB-090508-2	ab1-opn1sw2		Ab1-opn1sw2	
ZDB-ATB-090508-3	ab1-opn1sw1		Ab1-opn1sw1	
ZDB-ATB-090508-4	ab1-opn1mw1		Ab1-opn1mw1	
ZDB-ATB-090508-5	ab2-rho		Ab2-rho	
ZDB-ATB-090508-6	ab1-cep70		AB1-cep70	
ZDB-ATB-090515-1	ab1-cacna1da		Ab1-cacna1da	
ZDB-ATB-090515-2	ab1-cacna1		Ab1-cacna1	
ZDB-ATB-090520-1	ab1-rela		Ab1-rela	
ZDB-ATB-090521-1	ab1-ahr2		Ab1-ahr2	
ZDB-ATB-090521-2	ab1-arnt2		Ab1-arnt2	
ZDB-ATB-090527-1	ab2-atp1a1		Ab2-atp1a1	
ZDB-ATB-090527-2	ab1-atp6v1b2		Ab1-atp6v1b2	
ZDB-ATB-090527-3	ab1-foxi3a		Ab1-foxi3a	
ZDB-ATB-090527-4	ab1-foxi3b		Ab1-foxi3b	
ZDB-ATB-090527-5	ab1-dsred		Ab1-DsRed	
ZDB-ATB-090615-1	ab1-synapsin		Ab1-synapsin	
ZDB-ATB-090616-1	ab1-otof		Ab1-otof	
ZDB-ATB-090617-1	ab1-slevgp		AB1-SLEVgp	
ZDB-ATB-090617-2	ab1-gad		Ab1-gad	
ZDB-ATB-090619-1	ab1-lin7		Ab1-lin7	
ZDB-ATB-090619-2	ab2-mpp5a		Ab2-mpp5a	
ZDB-ATB-090619-3	ab3-mpp5a		Ab3-mpp5a	
ZDB-ATB-090623-1	ab1-vhl		Ab1-vhl	
ZDB-ATB-090623-2	ab1-stat5		Ab1-stat5	
ZDB-ATB-090623-3	ab2-stat5		Ab2-stat5	
ZDB-ATB-090624-1	ab13-gfp		Ab13-GFP	
ZDB-ATB-090624-2	ab14-gfp		AB14-GFP	
ZDB-ATB-090630-1	ab5-th		Ab5-th	
ZDB-ATB-090630-2	ab1-ca		Ab1-ca	
ZDB-ATB-090717-1	ab1-slc17a7		Ab1-slc17a7	
ZDB-ATB-090717-2	ab1-slc17a6		Ab1-slc17a6	
ZDB-ATB-090717-3	ab1-gad1		Ab1-gad1	
ZDB-ATB-090723-1	ab1-prl2		Ab1-prl2	
ZDB-ATB-090728-1	ab1-col12a1		Ab1-col12a1	
ZDB-ATB-090728-2	ab2-col12a1		Ab2-col12a1	
ZDB-ATB-090730-1	ab4-prox1		Ab4-prox1	
ZDB-ATB-090730-2	ab1-adrbk2		AB1-adrbk2	
ZDB-ATB-090731-2	ab1-tub-glyc		Ab1-tub-glyc	
ZDB-ATB-090731-3	ab2-tub-glyc		Ab2-tub-glyc	
ZDB-ATB-090805-1	ab1-acth		AB1-ACTH	
ZDB-ATB-090811-1	ab1-atp1a		Ab1-atp1a	
ZDB-ATB-090817-1	ab1-slc12a		Ab1-slc12a	
ZDB-ATB-090817-2	ab2-tjp1		Ab2-tjp1	
ZDB-ATB-090818-1	ab1-tub-glut		Ab1-tub-glut	
ZDB-ATB-090819-1	ab1-fabp7a		Ab1-fabp7a	
ZDB-ATB-090820-1	ab1-pafah1b1		Ab1-pafah1b1	
ZDB-ATB-090826-2	ab1-mef2		Ab1-mef2	
ZDB-ATB-090831-1	ab6-h3		Ab6-h3	
ZDB-ATB-090902-1	ab2-smad		Ab2-smad	
ZDB-ATB-090902-2	ab1-int5		AB1-int5	
ZDB-ATB-090908-1	ab1-calb1		Ab1-Calb1	
ZDB-ATB-090908-2	ab1-atxn1		Ab1-atxn1	
ZDB-ATB-090908-3	ab2-atxn1		Ab2-atxn1	
ZDB-ATB-090909-1	ab1-kif2		Ab1-kif2	
ZDB-ATB-090909-2	ab1-kif17		Ab1-kif17	
ZDB-ATB-090909-3	ab5-prox1		Ab5-prox1	
ZDB-ATB-090909-4	ab3-smad		Ab3-smad	
ZDB-ATB-090909-5	ab-smad2		Ab-smad2	
ZDB-ATB-090911-1	ab2-lcp1		Ab2-lcp1	
ZDB-ATB-090915-1	ab2-tubb		Ab2-tubb	
ZDB-ATB-090916-1	ab1-atp6v1a		Ab1-atp6v1a	
ZDB-ATB-090917-1	ab1-alcama		Ab1-alcama	
ZDB-ATB-090922-1	ab3-serotonin		Ab3-serotonin	
ZDB-ATB-090924-1	ab1-stc1		Ab1-stc1	
ZDB-ATB-090924-2	ab1-piwil1		Ab1-piwil1	
ZDB-ATB-090924-3	ab2-ddx4		Ab2-ddx4	
ZDB-ATB-090924-4	ab1-dld		Ab1-dld	
ZDB-ATB-090924-5	ab1-dlc		Ab1-dlc	
ZDB-ATB-090924-6	ab3-ctnnb		Ab3-ctnnb	
ZDB-ATB-091009-1	Ab4-dag1		Ab4-dag1	
ZDB-ATB-091019-1	ab1-map1lc3		Ab1-map1lc3	
ZDB-ATB-091019-2	ab1-gabarap		Ab1-gabarap	
ZDB-ATB-091021-1	ab1-nphs1		AB1-nphs1	
ZDB-ATB-091026-1	ab3-lcp1		Ab3-lcp1	
ZDB-ATB-091030-1	ab1-npy		Ab1-npy	
ZDB-ATB-091105-1	ab1-cntn2		Ab1-cntn2	
ZDB-ATB-091105-2	ab1-nadl1		Ab1-nadl1	
ZDB-ATB-091105-3	ab2-alcama		Ab2-alcama	
ZDB-ATB-091105-4	ab3-alcama		Ab3-alcama	
ZDB-ATB-091106-1	ab1-tcf7l1a		Ab1-tcf7l1a	
ZDB-ATB-091110-1	ab1-myl-ser19-p		Ab1-myl-Ser19-P	
ZDB-ATB-091117-1	ab1-slc17a8		Ab1-slc17a8	
ZDB-ATB-091117-2	ab1-ctbp2l		Ab1-ctbp2l	
ZDB-ATB-091117-3	ab1-neurofilament-m		Ab1-neurofilament-m	
ZDB-ATB-091119-1	ab1-nme2		Ab1-nme2	
ZDB-ATB-091120-1	ab1-gm4		Ab1-GM4	
ZDB-ATB-091123-1	ab1-foxe3		Ab1-foxe3	
ZDB-ATB-091123-2	ab1-pitx3		Ab1-pitx3	
ZDB-ATB-091123-3	ab1-cryaa		Ab1-cryaa	
ZDB-ATB-091125-1	ab1-gnb		Ab1-gnb	
ZDB-ATB-091210-1	ab1-myc		Ab1-myc	
ZDB-ATB-100105-1	ab1-fmr1		Ab1-fmr1	
